City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,Asosa,ET,2020-09-13 20:35:42,10.07,34.53,61.29,98,100,1.34,overcast clouds
62,Bambous Virieux,MU,2020-09-13 20:30:44,-20.34,57.76,71.6,78,75,10.29,shower rain
63,Rawson,AR,2020-09-13 20:35:42,-43.3,-65.1,51.04,47,0,9.57,clear sky
64,Saskylakh,RU,2020-09-13 20:35:42,71.92,114.08,44.94,80,100,3.69,overcast clouds
65,Labuhan,ID,2020-09-13 20:35:43,-6.88,112.21,76.46,80,63,8.61,heavy intensity rain
66,Carnarvon,AU,2020-09-13 20:33:06,-24.87,113.63,59.0,100,0,4.7,clear sky
67,Mariana,BR,2020-09-13 20:33:22,-20.38,-43.42,69.94,45,0,4.85,clear sky
68,La Ronge,CA,2020-09-13 20:35:43,55.1,-105.28,55.4,54,75,5.82,broken clouds
69,Port Blair,IN,2020-09-13 20:31:06,11.67,92.75,81.97,78,100,11.97,overcast clouds
70,Fortuna,US,2020-09-13 20:35:43,40.6,-124.16,60.01,100,75,7.74,broken clouds
71,Port-Cartier,CA,2020-09-13 20:35:43,50.03,-66.87,54.0,81,90,6.93,shower rain
72,Cape Town,ZA,2020-09-13 20:35:43,-33.93,18.42,55.0,87,75,16.11,light rain
73,Hithadhoo,MV,2020-09-13 20:35:43,-0.6,73.08,81.37,69,85,5.59,overcast clouds
74,Georgetown,MY,2020-09-13 20:35:43,5.41,100.34,78.8,88,20,2.24,moderate rain
75,Ixil,MX,2020-09-13 20:35:44,21.15,-89.48,91.99,63,75,9.17,broken clouds
76,Merrimack,US,2020-09-13 20:31:43,42.87,-71.49,75.2,50,75,12.75,broken clouds
77,Asau,RO,2020-09-13 20:35:44,46.43,26.4,59.0,92,4,4.79,light rain
78,Manicore,BR,2020-09-13 20:35:44,-5.81,-61.3,96.8,47,68,3.36,broken clouds
79,Westport,US,2020-09-13 20:35:44,41.14,-73.36,75.99,64,40,11.41,scattered clouds
80,Ponta Do Sol,PT,2020-09-13 20:35:45,32.67,-17.1,73.4,73,20,2.24,few clouds
81,Bowen,AU,2020-09-13 20:35:11,-20.02,148.23,64.4,88,8,9.17,clear sky
82,Zabol,AF,2020-09-13 20:35:45,32.25,67.25,63.93,24,0,7.52,clear sky
83,Nikolskoye,RU,2020-09-13 20:35:45,59.7,30.79,55.0,71,40,13.42,scattered clouds
84,Mgandu,TZ,2020-09-13 20:35:45,-5.95,34.13,64.96,52,3,8.21,clear sky
85,Pachmarhi,IN,2020-09-13 20:35:45,22.47,78.43,69.4,100,82,2.53,broken clouds
